	Gorgui Dieng	San	C	32.9	11	10.6	22.1	17.7	22.1	4	0.75	10	0.8	27	0.296	0.541	0.555	3.9	2.8	14.8	1.7	22.1	0.09	0.45	1	10	106.8	104.2
	Ousmane Dieng	Okc	F	19.56	14	15.7	32.7	12.8	10.3	4	0.25	25	0.6	34	0.294	0.508	0.502	4.4	2.9	9.5	1.4	11.8	0.36	0.29	0.5	6.7	106.5	112
	Spencer Dinwiddie	Dal	G	29.69	27	31.6	65.8	22.5	10.6	74	0.838	174	0.506	174	0.414	0.563	0.596	16.8	3.3	6.2	5.3	26.7	0.96	0.26	1.67	8.4	121.2	109.8
	Donte DiVincenzo	Gol	G	25.87	19	17.9	37.3	14.3	20.7	13	0.769	27	0.519	59	0.322	0.494	0.518	5	3.6	11.2	2.4	16.6	1.11	0.11	1.26	7.8	104.2	102.7
	Luka Doncic	Dal	F-G	23.79	25	36.8	76.7	37.8	11.5	259	0.718	362	0.591	208	0.341	0.562	0.605	33.1	8.6	13.8	8.8	47.4	1.68	0.64	3.56	14.8	121.2	104.9
	Tyler Dorsey	Dal	G	26.83	1	4.3	9	41.9	0	0	0	3	1	1	1	1.125	1.125	9	2	27.6	0	0	0	0	0	0	226	115.7
	Luguentz Dort	Okc	G	23.65	26	30.4	63.3	20.6	10.2	85	0.776	175	0.469	140	0.307	0.465	0.509	13.8	4.6	7.9	2.3	10.5	1.08	0.35	1.54	6.9	106	107.2
	Ayo Dosunmu	Chi	G	22.9	25	27.5	57.4	15.5	14.9	25	0.88	128	0.617	73	0.342	0.58	0.601	10.2	3.3	6.7	2.8	14.4	0.68	0.36	1.48	6.6	112.6	106.8
	Devon Dotson	Was	G	23.36	4	12.1	25.1	10	27.3	0	0	5	0	3	0.333	0.188	0.188	0.8	2.5	11.4	1.5	15	0.75	0	0.75	4.8	84.2	96.3
	Jeff Dowtin Jr.	Tor	G	25.59	9	7.4	15.5	12.3	5.1	1	1	14	0.571	4	0.25	0.528	0.542	2.2	1.1	8.5	0.9	17.1	0	0.11	0.11	7	128	113.2
	Goran Dragic	Chi	G	36.61	24	17.5	36.4	22.1	14.3	29	0.655	105	0.457	68	0.397	0.512	0.528	8.2	1.6	5.1	3.5	28.7	0.25	0.17	1.29	8.2	107.1	108.8
	Andre Drummond	Chi	C	29.34	20	14.2	29.6	21.7	16	34	0.588	104	0.567	2	0	0.557	0.57	6.9	7.5	29.5	0.8	8.5	0.7	0.4	1.15	9.7	114.2	93.3
	Chris Duarte	Ind	G	25.5	9	19.6	40.9	19.8	9.5	12	0.917	33	0.455	38	0.342	0.486	0.524	8.9	2.1	5.9	1	7.4	0.11	0.44	0.89	5.4	102.3	111.7
	David Duke Jr.	Bro	G	23.17	14	9	18.8	21	21.8	8	0.5	37	0.514	6	0	0.442	0.451	3	1.1	6.8	0.9	13.2	0.36	0.07	0.93	6.4	84.3	98
	Kevin Durant	Bro	F	34.2	28	36.7	76.5	31.5	13.2	205	0.927	407	0.629	133	0.346	0.602	0.666	30	6.7	10.4	5.5	25.8	0.71	1.68	3.43	11.3	122.5	109.2
	Jalen Duren	Det	C	19.07	26	22	45.8	12.4	16.7	47	0.489	118	0.627	1	0	0.622	0.612	6.6	7.3	18.2	0.6	4.1	0.58	0.77	1.08	5.6	120.3	107
